Series Description,1-year Treasury bill secondary market rate^  discount basis
Unit:,Percent:_Per_Year
Multiplier:,1
Currency:,NA
Unique Identifier: ,H15/H15/RIFSGFSY01_N.B
Time Period,RIFSGFSY01_N.B
1/1/09,ND
1/2/09,0.38
1/5/09,0.41
1/6/09,0.42
1/7/09,0.41
1/8/09,0.41
1/9/09,0.4
1/12/09,0.4
1/13/09,0.42
1/14/09,0.41
1/15/09,0.41
1/16/09,0.42
1/19/09,ND
1/20/09,0.41
1/21/09,0.42
1/22/09,0.41
1/23/09,0.44
1/26/09,0.45
1/27/09,0.45
1/28/09,0.46
1/29/09,0.48
1/30/09,0.48
2/2/09,0.48
2/3/09,0.5
2/4/09,0.5
2/5/09,0.51
2/6/09,0.53
2/9/09,0.56
2/10/09,0.59
2/11/09,0.59
2/12/09,0.57
2/13/09,0.6
2/16/09,ND
2/17/09,0.59
2/18/09,0.62
2/19/09,0.65
2/20/09,0.62
2/23/09,0.67
2/24/09,0.69
2/25/09,0.72
2/26/09,0.7
2/27/09,0.69
3/2/09,0.64
3/3/09,0.65
3/4/09,0.67
3/5/09,0.63
3/6/09,0.63
3/9/09,0.66
3/10/09,0.7
3/11/09,0.7
3/12/09,0.69
3/13/09,0.66
3/16/09,0.67
3/17/09,0.67
3/18/09,0.58
3/19/09,0.58
3/20/09,0.58
3/23/09,0.58
3/24/09,0.6
3/25/09,0.58
3/26/09,0.55
3/27/09,0.56
3/30/09,0.56
3/31/09,0.55
4/1/09,0.55
4/2/09,0.56
4/3/09,0.57
4/6/09,0.56
4/7/09,0.59
4/8/09,0.58
4/9/09,0.59
4/10/09,ND
4/13/09,0.56
4/14/09,0.53
4/15/09,0.52
4/16/09,0.52
4/17/09,0.55
4/20/09,0.52
4/21/09,0.51
4/22/09,0.49
4/23/09,0.46
4/24/09,0.47
4/27/09,0.46
4/28/09,0.49
4/29/09,0.47
4/30/09,0.46
5/1/09,0.46
5/4/09,0.48
5/5/09,0.52
5/6/09,0.5
5/7/09,0.53
5/8/09,0.54
5/11/09,0.51
5/12/09,0.52
5/13/09,0.5
5/14/09,0.48
5/15/09,0.48
5/18/09,0.48
5/19/09,0.46
5/20/09,0.42
5/21/09,0.43
5/22/09,0.46
5/25/09,ND
5/26/09,0.47
5/27/09,0.46
5/28/09,0.45
5/29/09,0.44
6/1/09,0.44
6/2/09,0.45
6/3/09,0.44
6/4/09,0.46
6/5/09,0.61
6/8/09,0.6
6/9/09,0.54
6/10/09,0.53
6/11/09,0.51
6/12/09,0.5
6/15/09,0.48
6/16/09,0.48
6/17/09,0.47
6/18/09,0.49
6/19/09,0.48
6/22/09,0.46
6/23/09,0.46
6/24/09,0.46
6/25/09,0.43
6/26/09,0.41
6/29/09,0.46
6/30/09,0.55
7/1/09,0.53
7/2/09,0.48
7/3/09,ND
7/6/09,0.47
7/7/09,0.45
7/8/09,0.43
7/9/09,0.45
7/10/09,0.43
7/13/09,0.45
7/14/09,0.45
7/15/09,0.47
7/16/09,0.44
7/17/09,0.45
7/20/09,0.44
7/21/09,0.43
7/22/09,0.43
7/23/09,0.45
7/24/09,0.43
7/27/09,0.44
7/28/09,0.48
7/29/09,0.49
7/30/09,0.47
7/31/09,0.47
8/3/09,0.47
8/4/09,0.45
8/5/09,0.47
8/6/09,0.46
8/7/09,0.5
8/10/09,0.47
8/11/09,0.46
8/12/09,0.44
8/13/09,0.42
8/14/09,0.41
8/17/09,0.42
8/18/09,0.4
8/19/09,0.4
8/20/09,0.39
8/21/09,0.41
8/24/09,0.4
8/25/09,0.46
8/26/09,0.44
8/27/09,0.45
8/28/09,0.43
8/31/09,0.42
9/1/09,0.42
9/2/09,0.39
9/3/09,0.4
9/4/09,0.4
9/7/09,ND
9/8/09,0.39
9/9/09,0.38
9/10/09,0.37
9/11/09,0.36
9/14/09,0.37
9/15/09,0.36
9/16/09,0.35
9/17/09,0.37
9/18/09,0.37
9/21/09,0.36
9/22/09,0.41
9/23/09,0.4
9/24/09,0.38
9/25/09,0.4
9/28/09,0.39
9/29/09,0.39
9/30/09,0.38
10/1/09,0.35
10/2/09,0.35
10/5/09,0.34
10/6/09,0.35
10/7/09,0.32
10/8/09,0.33
10/9/09,0.35
10/12/09,ND
10/13/09,0.32
10/14/09,0.32
10/15/09,0.32
10/16/09,0.33
10/19/09,0.34
10/20/09,0.38
10/21/09,0.39
10/22/09,0.37
10/23/09,0.39
10/26/09,0.4
10/27/09,0.38
10/28/09,0.37
10/29/09,0.38
10/30/09,0.35
11/2/09,0.36
11/3/09,0.36
11/4/09,0.33
11/5/09,0.33
11/6/09,0.31
11/9/09,0.31
11/10/09,0.3
11/11/09,ND
11/12/09,0.29
11/13/09,0.29
11/16/09,0.28
11/17/09,0.32
11/18/09,0.29
11/19/09,0.26
11/20/09,0.26
11/23/09,0.28
11/24/09,0.27
11/25/09,0.25
